Año,Trimestre,Fibra óptica,Provincia
2024,2,1849476,Buenos Aires
2024,2,230402,Capital Federal
2024,2,58355,Catamarca
2024,2,68944,Chaco
2024,2,26516,Chubut
2024,2,477504,Córdoba
2024,2,39792,Corrientes
2024,2,68540,Entre Ríos
2024,2,18977,Formosa
2024,2,53492,Jujuy
2024,2,37226,La Pampa
2024,2,23294,La Rioja
2024,2,188815,Mendoza
2024,2,87389,Misiones
2024,2,41784,Neuquén
2024,2,67636,Río Negro
2024,2,64689,Salta
2024,2,45792,San Juan
2024,2,34255,San Luis
2024,2,49545,Santa Cruz
2024,2,390090,Santa Fe
2024,2,30008,Santiago Del Estero
2024,2,3684,Tierra Del Fuego
2024,2,213753,Tucumán
2024,1,203756,Capital Federal
2024,1,56542,Catamarca
2024,1,64463,Chaco
2024,1,26356,Chubut
2024,1,458985,Córdoba
2024,1,38268,Corrientes
2024,1,66180,Entre Ríos
2024,1,17908,Formosa
2024,1,51084,Jujuy
2024,1,35556,La Pampa
2024,1,23086,La Rioja
2024,1,185460,Mendoza
2024,1,81498,Misiones
2024,1,41577,Neuquén
2024,1,66889,Río Negro
2024,1,61543,Salta
2024,1,44904,San Juan
2024,1,31539,San Luis
2024,1,49545,Santa Cruz
2024,1,374288,Santa Fe
2024,1,27018,Santiago Del Estero
2024,1,3684,Tierra Del Fuego
2024,1,205959,Tucumán
2023,4,1784593,Buenos Aires
2023,4,182520,Capital Federal
2023,4,55437,Catamarca
2023,4,62301,Chaco
2023,4,26174,Chubut
2023,4,440536,Córdoba
2023,4,35968,Corrientes
2023,4,61667,Entre Ríos
2023,4,16179,Formosa
2023,4,49947,Jujuy
2023,4,34331,La Pampa
2023,4,22559,La Rioja
2023,4,182220,Mendoza
2023,4,75382,Misiones
2023,4,41583,Neuquén
2023,4,64323,Río Negro
2023,4,60800,Salta
2023,4,42691,San Juan
2023,4,30135,San Luis
2023,4,55246,Santa Cruz
2023,4,355762,Santa Fe
2023,4,24271,Santiago Del Estero
2023,4,3682,Tierra Del Fuego
2023,4,199876,Tucumán
2023,3,1740239,Buenos Aires
2023,3,167428,Capital Federal
2023,3,54650,Catamarca
2023,3,54993,Chaco
2023,3,25827,Chubut
2023,3,417338,Córdoba
2023,3,36032,Corrientes
2023,3,54794,Entre Ríos
2023,3,14904,Formosa
2023,3,48350,Jujuy
2023,3,32891,La Pampa
2023,3,22054,La Rioja
2023,3,178719,Mendoza
2023,3,70003,Misiones
2023,3,39243,Neuquén
2023,3,56668,Río Negro
2023,3,59914,Salta
2023,3,42383,San Juan
2023,3,24525,San Luis
2023,3,11270,Santa Cruz
2023,3,336013,Santa Fe
2023,3,21745,Santiago Del Estero
2023,3,3682,Tierra Del Fuego
2023,3,195053,Tucumán
2023,2,1645945,Buenos Aires
2023,2,136295,Capital Federal
2023,2,53177,Catamarca
2023,2,51955,Chaco
2023,2,16111,Chubut
2023,2,411703,Córdoba
2023,2,32834,Corrientes
2023,2,49251,Entre Ríos
2023,2,13698,Formosa
2023,2,47289,Jujuy
2023,2,31449,La Pampa
2023,2,21245,La Rioja
2023,2,171857,Mendoza
2023,2,64406,Misiones
2023,2,35171,Neuquén
2023,2,53325,Río Negro
2023,2,58275,Salta
2023,2,25217,San Juan
2023,2,15595,San Luis
2023,2,11269,Santa Cruz
2023,2,311166,Santa Fe
2023,2,17244,Santiago Del Estero
2023,2,525,Tierra Del Fuego
2023,2,188986,Tucumán
2023,1,1551074,Buenos Aires
2023,1,156222,Capital Federal
2023,1,50230,Catamarca
2023,1,49756,Chaco
2023,1,9815,Chubut
2023,1,386297,Córdoba
2023,1,30016,Corrientes
2023,1,44508,Entre Ríos
2023,1,13345,Formosa
2023,1,46271,Jujuy
2023,1,28126,La Pampa
2023,1,20722,La Rioja
2023,1,152534,Mendoza
2023,1,56619,Misiones
2023,1,32296,Neuquén
2023,1,45329,Río Negro
2023,1,56259,Salta
2023,1,12798,San Juan
2023,1,6952,San Luis
2023,1,12217,Santa Cruz
2023,1,283988,Santa Fe
2023,1,16656,Santiago Del Estero
2023,1,405,Tierra Del Fuego
2023,1,180976,Tucumán
2022,4,1499149,Buenos Aires
2022,4,138548,Capital Federal
2022,4,47337,Catamarca
2022,4,47285,Chaco
2022,4,9815,Chubut
2022,4,367393,Córdoba
2022,4,26752,Corrientes
2022,4,40798,Entre Ríos
2022,4,13118,Formosa
2022,4,42626,Jujuy
2022,4,24552,La Pampa
2022,4,19328,La Rioja
2022,4,147080,Mendoza
2022,4,46885,Misiones
2022,4,31567,Neuquén
2022,4,43958,Río Negro
2022,4,53470,Salta
2022,4,12491,San Juan
2022,4,3409,San Luis
2022,4,12217,Santa Cruz
2022,4,248558,Santa Fe
2022,4,15117,Santiago Del Estero
2022,4,405,Tierra Del Fuego
2022,4,168717,Tucumán
2022,3,1436433,Buenos Aires
2022,3,129218,Capital Federal
2022,3,46224,Catamarca
2022,3,44645,Chaco
2022,3,9574,Chubut
2022,3,338570,Córdoba
2022,3,18619,Corrientes
2022,3,36971,Entre Ríos
2022,3,11041,Formosa
2022,3,40172,Jujuy
2022,3,23551,La Pampa
2022,3,19697,La Rioja
2022,3,142615,Mendoza
2022,3,39046,Misiones
2022,3,29396,Neuquén
2022,3,41017,Río Negro
2022,3,50254,Salta
2022,3,12328,San Juan
2022,3,248,San Luis
2022,3,10815,Santa Cruz
2022,3,215189,Santa Fe
2022,3,13170,Santiago Del Estero
2022,3,403,Tierra Del Fuego
2022,3,162345,Tucumán
2022,2,1399043,Buenos Aires
2022,2,121506,Capital Federal
2022,2,42087,Catamarca
2022,2,42194,Chaco
2022,2,9574,Chubut
2022,2,308895,Córdoba
2022,2,18181,Corrientes
2022,2,35839,Entre Ríos
2022,2,9875,Formosa
2022,2,34184,Jujuy
2022,2,22994,La Pampa
2022,2,19189,La Rioja
2022,2,135504,Mendoza
2022,2,33649,Misiones
2022,2,28824,Neuquén
2022,2,40946,Río Negro
2022,2,47076,Salta
2022,2,12328,San Juan
2022,2,248,San Luis
2022,2,10815,Santa Cruz
2022,2,189503,Santa Fe
2022,2,11605,Santiago Del Estero
2022,2,403,Tierra Del Fuego
2022,2,148823,Tucumán
2022,1,1242121,Buenos Aires
2022,1,62308,Capital Federal
2022,1,29118,Catamarca
2022,1,36662,Chaco
2022,1,9184,Chubut
2022,1,235838,Córdoba
2022,1,10875,Corrientes
2022,1,23091,Entre Ríos
2022,1,5146,Formosa
2022,1,25949,Jujuy
2022,1,21739,La Pampa
2022,1,9546,La Rioja
2022,1,123228,Mendoza
2022,1,25178,Misiones
2022,1,24193,Neuquén
2022,1,38037,Río Negro
2022,1,40994,Salta
2022,1,11294,San Juan
2022,1,31,San Luis
2022,1,10766,Santa Cruz
2022,1,146552,Santa Fe
2022,1,1093,Santiago Del Estero
2022,1,416,Tierra Del Fuego
2022,1,86174,Tucumán
2021,4,1176024,Buenos Aires
2021,4,60005,Capital Federal
2021,4,25100,Catamarca
2021,4,34688,Chaco
2021,4,9655,Chubut
2021,4,217214,Córdoba
2021,4,10138,Corrientes
2021,4,23452,Entre Ríos
2021,4,5151,Formosa
2021,4,24156,Jujuy
2021,4,20192,La Pampa
2021,4,9446,La Rioja
2021,4,109667,Mendoza
2021,4,22035,Misiones
2021,4,23253,Neuquén
2021,4,32212,Río Negro
2021,4,39555,Salta
2021,4,11072,San Juan
2021,4,30,San Luis
2021,4,10031,Santa Cruz
2021,4,128856,Santa Fe
2021,4,1088,Santiago Del Estero
2021,4,426,Tierra Del Fuego
2021,4,78790,Tucumán
2021,3,885613,Buenos Aires
2021,3,42966,Capital Federal
2021,3,22331,Catamarca
2021,3,27583,Chaco
2021,3,8946,Chubut
2021,3,167495,Córdoba
2021,3,7542,Corrientes
2021,3,20485,Entre Ríos
2021,3,4730,Formosa
2021,3,19926,Jujuy
2021,3,17817,La Pampa
2021,3,9444,La Rioja
2021,3,70579,Mendoza
2021,3,10969,Misiones
2021,3,16455,Neuquén
2021,3,18725,Río Negro
2021,3,36126,Salta
2021,3,6670,San Juan
2021,3,27,San Luis
2021,3,6328,Santa Cruz
2021,3,93412,Santa Fe
2021,3,909,Santiago Del Estero
2021,3,6,Tierra Del Fuego
2021,3,70964,Tucumán
2021,2,854173,Buenos Aires
2021,2,41318,Capital Federal
2021,2,22331,Catamarca
2021,2,27584,Chaco
2021,2,6081,Chubut
2021,2,151855,Córdoba
2021,2,3731,Corrientes
2021,2,17856,Entre Ríos
2021,2,3610,Formosa
2021,2,19611,Jujuy
2021,2,17132,La Pampa
2021,2,9445,La Rioja
2021,2,44696,Mendoza
2021,2,10376,Misiones
2021,2,15619,Neuquén
2021,2,18727,Río Negro
2021,2,32050,Salta
2021,2,6673,San Juan
2021,2,28,San Luis
2021,2,6328,Santa Cruz
2021,2,90424,Santa Fe
2021,2,909,Santiago Del Estero
2021,2,6,Tierra Del Fuego
2021,2,71683,Tucumán
2021,1,821597,Buenos Aires
2021,1,39980,Capital Federal
2021,1,18688,Catamarca
2021,1,25426,Chaco
2021,1,3444,Chubut
2021,1,134634,Córdoba
2021,1,3337,Corrientes
2021,1,16846,Entre Ríos
2021,1,2562,Formosa
2021,1,17322,Jujuy
2021,1,15779,La Pampa
2021,1,1,La Rioja
2021,1,38619,Mendoza
2021,1,7064,Misiones
2021,1,14171,Neuquén
2021,1,17828,Río Negro
2021,1,31498,Salta
2021,1,6671,San Juan
2021,1,28,San Luis
2021,1,5975,Santa Cruz
2021,1,70976,Santa Fe
2021,1,570,Santiago Del Estero
2021,1,6,Tierra Del Fuego
2021,1,69954,Tucumán
2020,4,804991,Buenos Aires
2020,4,39890,Capital Federal
2020,4,17856,Catamarca
2020,4,23687,Chaco
2020,4,3040,Chubut
2020,4,125620,Córdoba
2020,4,3146,Corrientes
2020,4,15653,Entre Ríos
2020,4,2432,Formosa
2020,4,15639,Jujuy
2020,4,15432,La Pampa
2020,4,1,La Rioja
2020,4,36083,Mendoza
2020,4,6589,Misiones
2020,4,13732,Neuquén
2020,4,17826,Río Negro
2020,4,30604,Salta
2020,4,6599,San Juan
2020,4,27,San Luis
2020,4,1041,Santa Cruz
2020,4,62692,Santa Fe
2020,4,570,Santiago Del Estero
2020,4,6,Tierra Del Fuego
2020,4,68043,Tucumán
2020,3,749087,Buenos Aires
2020,3,39417,Capital Federal
2020,3,16857,Catamarca
2020,3,20675,Chaco
2020,3,2897,Chubut
2020,3,102217,Córdoba
2020,3,2960,Corrientes
2020,3,13954,Entre Ríos
2020,3,2000,Formosa
2020,3,11112,Jujuy
2020,3,14677,La Pampa
2020,3,1,La Rioja
2020,3,32817,Mendoza
2020,3,2572,Misiones
2020,3,11043,Neuquén
2020,3,10381,Río Negro
2020,3,25445,Salta
2020,3,5509,San Juan
2020,3,6,San Luis
2020,3,1027,Santa Cruz
2020,3,45721,Santa Fe
2020,3,555,Santiago Del Estero
2020,3,0,Tierra Del Fuego
2020,3,59949,Tucumán
2020,2,723072,Buenos Aires
2020,2,39482,Capital Federal
2020,2,14878,Catamarca
2020,2,17266,Chaco
2020,2,1324,Chubut
2020,2,85818,Córdoba
2020,2,3144,Corrientes
2020,2,13954,Entre Ríos
2020,2,1882,Formosa
2020,2,5057,Jujuy
2020,2,14232,La Pampa
2020,2,1,La Rioja
2020,2,29613,Mendoza
2020,2,2579,Misiones
2020,2,11037,Neuquén
2020,2,10382,Río Negro
2020,2,24289,Salta
2020,2,5509,San Juan
2020,2,6,San Luis
2020,2,1027,Santa Cruz
2020,2,46698,Santa Fe
2020,2,355,Santiago Del Estero
2020,2,0,Tierra Del Fuego
2020,2,55120,Tucumán
2020,1,720688,Buenos Aires
2020,1,38898,Capital Federal
2020,1,12056,Catamarca
2020,1,11958,Chaco
2020,1,1324,Chubut
2020,1,68512,Córdoba
2020,1,2172,Corrientes
2020,1,13245,Entre Ríos
2020,1,1800,Formosa
2020,1,3078,Jujuy
2020,1,13821,La Pampa
2020,1,0,La Rioja
2020,1,28059,Mendoza
2020,1,1220,Misiones
2020,1,11031,Neuquén
2020,1,10381,Río Negro
2020,1,23025,Salta
2020,1,5508,San Juan
2020,1,5,San Luis
2020,1,1026,Santa Cruz
2020,1,35123,Santa Fe
2020,1,200,Santiago Del Estero
2020,1,0,Tierra Del Fuego
2020,1,44687,Tucumán
2019,4,669194,Buenos Aires
2019,4,35534,Capital Federal
2019,4,9506,Catamarca
2019,4,8831,Chaco
2019,4,1324,Chubut
2019,4,53335,Córdoba
2019,4,2002,Corrientes
2019,4,12875,Entre Ríos
2019,4,1760,Formosa
2019,4,873,Jujuy
2019,4,4942,La Pampa
2019,4,0,La Rioja
2019,4,24989,Mendoza
2019,4,847,Misiones
2019,4,10549,Neuquén
2019,4,9658,Río Negro
2019,4,21865,Salta
2019,4,4931,San Juan
2019,4,6,San Luis
2019,4,1036,Santa Cruz
2019,4,27464,Santa Fe
2019,4,200,Santiago Del Estero
2019,4,0,Tierra Del Fuego
2019,4,39574,Tucumán
2019,3,425386,Buenos Aires
2019,3,24900,Capital Federal
2019,3,13,Catamarca
2019,3,8063,Chaco
2019,3,1917,Chubut
2019,3,30064,Córdoba
2019,3,1888,Corrientes
2019,3,12888,Entre Ríos
2019,3,1476,Formosa
2019,3,274,Jujuy
2019,3,4994,La Pampa
2019,3,11,La Rioja
2019,3,6865,Mendoza
2019,3,829,Misiones
2019,3,5560,Neuquén
2019,3,9739,Río Negro
2019,3,733,Salta
2019,3,1227,San Juan
2019,3,350,San Luis
2019,3,969,Santa Cruz
2019,3,18690,Santa Fe
2019,3,219,Santiago Del Estero
2019,3,651,Tierra Del Fuego
2019,3,116,Tucumán
2019,2,382971,Buenos Aires
2019,2,36082,Capital Federal
2019,2,13,Catamarca
2019,2,4203,Chaco
2019,2,1917,Chubut
2019,2,23023,Córdoba
